Username,Score
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try1,0
try2,0
try2,0
try2,0
try2,0
try2,0
try2,0
try2,0
try2,0
try2,0
try2,0
try2,0
try2,0
try2,0
try2,0
try2,0
try2,0
try2,0
try2,0
try2,0
try2,0
try2,0
try2,0
try2,0
try2,0
try2,0
try2,0
try2,0
try2,0
try2,0
